Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
85,0.1428,0.1855,0.0725,0.4375,0.7013,0.8375,0.9788
86,0.1887,0.1878,0.0775,0.4325,0.7025,0.8488,0.9800
87,0.1357,0.1861,0.0750,0.4363,0.7013,0.8488,0.9812
88,0.1566,0.1839,0.0712,0.4300,0.7037,0.8475,0.9812
89,0.1576,0.1896,0.0762,0.4363,0.7013,0.8450,0.9812
90,0.2204,0.1906,0.0750,0.4313,0.7063,0.8387,0.9775
91,0.2096,0.1858,0.0712,0.4300,0.6975,0.8400,0.9788
92,0.1833,0.1881,0.0725,0.4475,0.7013,0.8438,0.9812
93,0.2050,0.1912,0.0788,0.4375,0.7037,0.8363,0.9762
94,0.1912,0.1867,0.0737,0.4387,0.7013,0.8387,0.9788
95,0.1852,0.1877,0.0750,0.4263,0.6987,0.8350,0.9788
96,0.1465,0.1883,0.0725,0.4350,0.7063,0.8438,0.9788
97,0.1639,0.1860,0.0712,0.4325,0.7125,0.8337,0.9800
98,0.1814,0.1899,0.0737,0.4375,0.7025,0.8425,0.9788
99,0.1835,0.1854,0.0712,0.4350,0.6987,0.8425,0.9775
100,0.1606,0.1879,0.0737,0.4250,0.6913,0.8375,0.9800
101,0.2091,0.1909,0.0750,0.4450,0.6963,0.8475,0.9800
102,0.1734,0.1905,0.0700,0.4412,0.6937,0.8400,0.9800
103,0.2220,0.1883,0.0700,0.4363,0.6937,0.8325,0.9750
104,0.2309,0.1906,0.0712,0.4263,0.7013,0.8413,0.9788
105,0.2216,0.1858,0.0712,0.4250,0.6825,0.8263,0.9738
106,0.2628,0.1844,0.0725,0.4200,0.6925,0.8450,0.9725
107,0.1750,0.1852,0.0700,0.4300,0.6950,0.8438,0.9775
108,0.1749,0.1924,0.0750,0.4350,0.6963,0.8300,0.9750
109,0.2107,0.1884,0.0762,0.4325,0.6863,0.8413,0.9738
110,0.1833,0.1893,0.0850,0.4175,0.6825,0.8237,0.9688
111,0.1806,0.1864,0.0688,0.4375,0.6963,0.8425,0.9762
112,0.1857,0.1887,0.0775,0.4200,0.6900,0.8287,0.9738
113,0.2472,0.1867,0.0700,0.4313,0.6887,0.8313,0.9712
114,0.1645,0.1924,0.0800,0.4412,0.6937,0.8287,0.9738
115,0.1913,0.1870,0.0762,0.4325,0.6937,0.8350,0.9775
116,0.2153,0.1875,0.0712,0.4288,0.6863,0.8363,0.9738
117,0.1651,0.1875,0.0750,0.4200,0.6863,0.8313,0.9750
118,0.1598,0.1869,0.0750,0.4113,0.6850,0.8300,0.9738
119,0.2430,0.1904,0.0788,0.4163,0.6887,0.8313,0.9700
120,0.2938,0.1837,0.0737,0.4012,0.6837,0.8250,0.9675
121,0.1634,0.1880,0.0725,0.4213,0.6875,0.8275,0.9762
122,0.1857,0.1846,0.0725,0.4238,0.6813,0.8313,0.9725
123,0.1642,0.1959,0.0838,0.4163,0.6913,0.8313,0.9700
124,0.1120,0.1934,0.0825,0.4200,0.6875,0.8387,0.9712
125,0.1668,0.1862,0.0737,0.4150,0.6837,0.8325,0.9738
126,0.1208,0.1890,0.0800,0.4062,0.6713,0.8213,0.9613
127,0.1619,0.1873,0.0750,0.4163,0.6825,0.8275,0.9650
128,0.1963,0.1889,0.0813,0.4100,0.6800,0.8287,0.9637
