Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
85,0.1968,0.1545,0.0956,0.2758,0.3706,0.4103,0.4709
86,0.1842,0.1561,0.0979,0.2805,0.3714,0.4071,0.4670
87,0.1865,0.1543,0.0971,0.2735,0.3730,0.4118,0.4709
88,0.1789,0.1551,0.0995,0.2758,0.3714,0.4087,0.4709
89,0.1851,0.1566,0.1018,0.2751,0.3722,0.4095,0.4670
90,0.1804,0.1578,0.1002,0.2797,0.3730,0.4110,0.4716
91,0.1881,0.1567,0.0979,0.2797,0.3722,0.4118,0.4747
92,0.1782,0.1557,0.0956,0.2836,0.3730,0.4149,0.4763
93,0.1747,0.1535,0.0956,0.2797,0.3683,0.4103,0.4678
94,0.1826,0.1577,0.1010,0.2813,0.3753,0.4110,0.4685
95,0.1703,0.1562,0.0987,0.2797,0.3691,0.4095,0.4701
96,0.1759,0.1562,0.0995,0.2805,0.3730,0.4141,0.4678
97,0.1672,0.1553,0.0979,0.2782,0.3714,0.4126,0.4716
98,0.1700,0.1580,0.1010,0.2813,0.3730,0.4118,0.4755
99,0.1789,0.1542,0.0963,0.2758,0.3730,0.4087,0.4693
100,0.1816,0.1557,0.0963,0.2859,0.3745,0.4141,0.4685
101,0.1657,0.1575,0.1002,0.2828,0.3753,0.4149,0.4709
102,0.1863,0.1555,0.0963,0.2828,0.3722,0.4134,0.4701
103,0.1642,0.1566,0.0979,0.2828,0.3737,0.4165,0.4701
104,0.1676,0.1548,0.0948,0.2797,0.3745,0.4149,0.4716
105,0.1629,0.1535,0.0940,0.2805,0.3737,0.4095,0.4670
106,0.1673,0.1526,0.0932,0.2797,0.3722,0.4056,0.4670
107,0.1650,0.1549,0.0956,0.2766,0.3722,0.4134,0.4732
108,0.1736,0.1542,0.0963,0.2867,0.3706,0.4141,0.4693
109,0.1629,0.1526,0.0917,0.2813,0.3768,0.4079,0.4639
110,0.1677,0.1556,0.0932,0.2836,0.3768,0.4149,0.4685
111,0.1716,0.1566,0.0979,0.2852,0.3644,0.4064,0.4646
